island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,414.01,146.14,507.05,170.79,0.0,136.54,398.88,0.0,2903.55,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.43,0.0,81.07,75.45,1148.91,633.14,0.0,1243.11,1036.98,14.290000000000001
2,0.0,2.77,31.8,13.540000000000001,201.48,126.77,0.0,370.13,0.0,0.0,686.09,1.55,1723.97,103.7,0.0,3105.99,471.49,0.0,216.68,0.0,101.34,637.41,209.29,206.89,1189.55,3787.68,29.14
3,0.0,0.0,0.0,32.38,0.0,62.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.23,0.0,0.0,0.0,43.8,0.0,18.77,0.0,31.59,0.0,126.01,2005.05,0.0
