region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,0.0,2.77,31.8,4.95,21.05,26.67,0.0,32.31,0.0,0.0,686.09,1.55,0.0,0.0,0.0,0.0,0.0,0.0,15.73,0.0,9.5,30.76,10.38,10.14,97.39,607.16,7.59
2,0.0,0.0,0.0,7.17,117.33,70.38,0.0,102.69,0.0,0.0,0.0,0.0,1723.97,103.7,0.0,0.0,0.0,0.0,58.4,0.0,45.83,342.03000000000003,18.99,79.32,230.07,1716.09,12.03
3,0.0,0.0,0.0,1.42,63.1,29.72,0.0,235.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3105.99,471.49,0.0,142.55,0.0,46.01,264.62,179.92000000000002,117.42999999999999,862.09,1464.43,9.52
4,67.54,124.21,443.46999999999997,59.019999999999996,0.0,50.41,6.86,0.0,2773.02,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.16,37.45,40.97,163.41,0.0,553.39,638.63,0.0
5,152.6,4.15,58.67,91.78,0.0,35.43,337.37,0.0,30.78,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.43,0.0,4.18,24.73,1107.94,195.1,0.0,455.35,146.59,13.48
6,193.87,17.78,4.909999999999999,19.99,0.0,50.7,54.65,0.0,99.75,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.729999999999997,13.27,0.0,274.63,0.0,234.37,251.76,0.81
7,0.0,0.0,0.0,32.38,0.0,62.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.23,0.0,0.0,0.0,43.8,0.0,18.77,0.0,31.59,0.0,126.01,2005.05,0.0
