type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,15,17,0,1,25,1,6,2
2,0,0,18,6,0,0,45,0,77,0
3,0,0,0,0,1308,42,9,3,9,0
4,0,0,12,18,32,449,86,92,0,173
5,0,0,3,2,9,15,170,0,83,0
6,0,0,0,31,0,1,3,991,0,21
7,0,0,0,0,0,2,2,0,212,0
8,0,0,0,34,0,1,0,462,0,100
