region,matched_plots,total_plots,plot_match_pct,matched_ha,total_ha,area_match_pct
1,979,1462,66.96306429548564,1176.02,1500.36,78.38252152816658
2,2443,3568,68.46973094170404,3607.37,4403.72,81.91642520414558
3,3085,4785,64.47230929989551,4449.79,6148.64,72.37031278461578
4,2360,3790,62.26912928759894,3329.93,4479.21,74.34190404111439
5,1073,2492,43.0577849117175,1258.32,2401.02,52.40772671614564
6,451,847,53.246753246753244,627.63,1013.23,61.943487658280944
7,4089,5253,77.84123358081096,2986.62,3631.81,82.23502881483337
TOTAL,14480,22197,65.234040636122,17435.68,23577.989999999998,73.94896681184444
