crop,labor_cost
AG,6104.106666666667
AN_NU,109846.02
AN_PA,2980278.0
BA_INT,28857084.913125
BA_IRR,3017570.2954545454
BA_PER,2316093.2789166667
BC_BT,2334192.333125
BC_GTMG,3368.246875
CS_BT_NIM,604323.4771428572
CS_BT_NISM,739.0178571428572
CS_CGT_NIM,144258.25642857145
CS_CGT_NISM,230.57357142857143
CS_EGT_NIM,366840.5814285715
CS_EGT_NISM,24462.47642857143
CS_MG_NISM,399970.2592857143
CS_NGT_NIM,650282.5050000001
CS_NGT_NISM,99493.48142857144
CS_SBT_NIM,70353.25999999998
IG_PLA,580692.0
IG_TUT,943441.91
JA,44095.020000000004
MA_ROTA,9717978.735
MA_TO_CO_JA,18710327.759999998
ME,71252.88
PN_PIQ,13998205.620000001
VE_BTGT,50423.897333333334
