crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.8,100.04,99.2066640222134,False
AN,132.67000000000002,457.18,324.51,244.59938192507724,False
BA,1920.8,1640.22,280.5799999999999,14.607455226988751,True
BC,147.21,247.68,100.47,68.24943957611575,False
CS,12812.93,11880.12,932.8099999999995,7.280223961264125,True
IG,145.42,117.17,28.249999999999986,19.426488791087877,False
JA,621.47,474.14,147.33000000000004,23.706695415707923,False
MA,1086.97,1449.43,362.46000000000004,33.345906510759264,False
ME,189.36,7.32,182.04000000000002,96.1343472750317,False
PN,6109.43,7167.54,1058.1099999999997,17.31929165241274,False
VE,310.89,8.98,301.90999999999997,97.11151854353629,False
TOTAL,23577.99,23450.58,3818.509999999999,16.19523123048232,False
