type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,9,0,0,0,14,16,18,10
2,0,0,0,0,0,0,0,0,146,0
3,0,0,3,0,335,13,896,113,9,2
4,0,0,1,0,4,39,149,626,12,31
5,0,0,5,0,2,0,167,18,70,20
6,0,0,10,0,3,37,274,607,84,32
7,0,0,0,0,0,0,12,0,204,0
8,0,0,0,0,0,6,228,284,59,20
