island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,8.82,26.84,410.0,1106.24,0.0,180.88,226.11,245.7,0.0,3363.79,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.8,0.0,17.93,304.68,175.72,427.14,0.0,1243.11,1148.88,0.79
2,0.0,0.07,21.78,86.68,259.68,93.44,0.0,0.0,1.8399999999999999,0.0,0.0,795.39,1.93,2020.28,135.8,0.0,3582.76,562.66,0.0,242.82999999999998,0.0,125.92,308.2,208.49,4.25,1189.55,3522.83,5.15
3,0.0,0.0,0.0,14.51,0.0,36.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.45,0.0,0.0,0.0,17.98,0.0,12.28,0.0,25.34,0.0,126.01,1424.35,0.0
