region,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,0.0,385.15,0.0,0.04,0.0,39.33,18.24,1089.69,0.0
2,0.0,2011.13,0.0,0.08,0.0,99.63,57.56,2283.11,0.0
3,0.0,3322.18,0.0,0.07,0.0,192.54,131.13,2700.28,0.0
4,123.45,209.45,93.59,116.27,4.96,105.36,0.0,3904.57,0.0
5,96.34,1359.23,46.95,134.1,13.79,717.36,0.0,46.42,132.71
6,74.74,259.41,15.67,34.2,1.56,0.0,0.0,249.47,415.74
7,0.0,1750.13,0.0,0.0,0.0,0.0,0.0,1919.46,0.0
