island,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,294.53000000000003,1828.09,156.21,284.57,20.31,822.72,0.0,4200.46,548.45
2,0.0,5718.46,0.0,0.19,0.0,331.5,206.93,6073.08,0.0
3,0.0,1750.13,0.0,0.0,0.0,0.0,0.0,1919.46,0.0
