island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,19.58,3.27,158.51,1137.69,0.0,184.85,171.61,6.45,3538.3,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.33,0.0,36.04,287.48,253.28,685.45,0.0,1074.9,66.99
2,0.0,0.07,8.97,97.56,256.31,95.7,1.3699999999999999,0.0,0.0,0.0,804.86,3.57,2055.05,134.62,0.0,3564.66,558.24,0.0,27.84,0.0,112.4,218.18,350.89,250.03,3424.86,27.02
3,0.0,0.0,0.0,29.080000000000002,0.0,114.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567.28,0.0,0.0,0.0,3.4899999999999998,0.0,18.16,0.0,33.75,0.0,861.83,0.0
