type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,10,22,2,4,5,16,1,7
2,0,0,1,108,1,0,15,0,20,1
3,0,0,0,0,1353,11,4,1,2,0
4,0,0,2,24,155,640,9,12,0,20
5,0,0,9,1,14,35,170,3,46,4
6,0,0,0,13,6,70,7,912,0,39
7,0,0,0,0,4,1,4,1,206,0
8,0,0,0,27,3,98,3,77,0,389
