crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.46,100.38000000000001,99.54383181277272,False
AN,132.67000000000002,308.16,175.49,132.2755709655536,False
BA,1920.8,1140.59,780.21,40.619012911286966,False
BC,147.21,173.81,26.599999999999994,18.069424631478835,False
CS,12812.93,5081.46,7731.47,60.34115537976091,False
IG,145.42,150.64,5.219999999999999,3.589602530601017,True
JA,621.47,3688.88,3067.41,493.57330200975105,False
MA,1086.97,2261.01,1174.0400000000002,108.01034067177568,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,10527.39,4417.959999999999,72.31378377360898,False
VE,310.89,3.92,306.96999999999997,98.7391038631027,False
TOTAL,23577.99,23336.32,17975.11,76.23682086556148,False
