region,matched_plots,total_plots,plot_match_pct,matched_ha,total_ha,area_match_pct
1,588,1462,40.21887824897401,790.96,1500.36,52.7180143432243
2,1854,3568,51.96188340807175,3045.83,4403.72,69.16493328367834
3,1732,4785,36.19644723092999,2607.96,6148.64,42.415233287361104
4,1687,3790,44.51187335092348,2497.95,4479.21,55.76764652695452
5,723,2492,29.012841091492778,802.42,2401.02,33.419963182314184
6,370,847,43.68358913813459,528.52,1013.23,52.1618980882919
7,1316,5253,25.05235103750238,1292.3,3631.81,35.58280857203433
TOTAL,8270,22197,37.25728702076857,11565.939999999999,23577.989999999998,49.053969401123666
