type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,4,46,7,7
2,0,0,0,0,0,4,57,10,63,12
3,0,0,0,0,1297,10,58,3,3,0
4,0,0,0,0,8,593,3,185,1,72
5,0,0,0,0,9,32,190,10,37,4
6,0,0,0,0,37,130,21,821,7,31
7,0,0,0,0,3,3,12,1,196,1
8,0,0,0,0,12,44,14,90,9,428
