type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,0,18,0,0,11,24,6,8
2,0,0,0,42,0,0,33,2,45,24
3,0,0,0,0,791,189,32,327,9,23
4,0,0,0,23,0,2,0,815,1,21
5,0,0,2,2,1,1,153,42,48,33
6,0,0,0,13,0,0,5,1016,0,13
7,0,0,0,0,1,0,5,6,198,6
8,0,0,0,10,0,0,3,563,0,21
