crop,labor_cost
AG,3509.8613333333333
AN_NU,178143.36000000002
AN_PA,1371874.0
BA_INT,22716344.3871875
BA_IRR,30342.419545454544
BA_PER,4132138.8826666665
BA_SINT,9210.311363636363
BC_BT,2218299.0656250003
BC_GTMG,119428.410625
CS_BT_NIM,398324.7128571429
CS_CGT_NIM,46999.565
CS_EGT_NIM,232806.39071428575
CS_NGT_NIM,300876.83285714284
CS_SBT_NIM,38008.066666666666
IG_PLA,540277.92
IG_TUT,742526.5700000001
JA,0.0
MA_MOBIO,55710.719999999994
MA_PLBIO,25250532.3
MA_ROTA,11795369.955
MA_TO_CO_JA,13985101.92
NC,0.0
PN_PIQ,18950447.25
PN_TOUR,1473194.555
VE_BTGT,25829.613333333335
