crop,gross_margin
AG,52908.44432999999
AN_NU,187551.5772
AN_PA,7065345.673999999
BA_INT,12484325.11655
BA_IRR,2403128.8854545453
BA_PER,1464472.0689500002
BA_SINT,1287687.0972681812
BC_BT,2797672.26375
BC_GTMG,20872.109
CS_BT_NIM,9290951.267977428
CS_BT_NISM,7891.227351428574
CS_CGT_NIM,2041637.7086031435
CS_CGT_NISM,3057.923927714286
CS_EGT_NIM,5064818.813363428
CS_EGT_NISM,213224.54252
CS_MG_NISM,3390178.8188728583
CS_NGT_NIM,8687865.331006858
CS_NGT_NISM,855959.2089639999
CS_SBT_NIM,737300.1667199999
IG_PLA,2972231.1855499996
IG_TUT,162465.97125
JA,51374.08
MA_ROTA,13515271.457127998
MA_TO_CO_JA,13764866.748343
ME,39699.26700000001
NC,0.0
PN_PIQ,9765888.120000001
VE_BTGT,25942.957919999997
