crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,22528228.94
BA_IRR,3702517.44
BA_PER,2240568.0
BA_SINT,2590768.3800000004
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,10871740.447514286
CS_BT_NISM,12350.224914285716
CS_CGT_NIM,2358777.9046714287
CS_CGT_NISM,4660.107417142857
CS_EGT_NIM,5707617.130914286
CS_EGT_NISM,312644.65760000004
CS_MG_NISM,5092301.009428572
CS_NGT_NIM,10176369.139428573
CS_NGT_NISM,1302226.7344
CS_SBT_NIM,935611.9199999999
IG_PLA,0.0
IG_TUT,0.0
JA,88576.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3352833.0
VE_BTGT,0.0
