crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,9579576.94
BA_IRR,1192966.86
BA_PER,1965311.9999999998
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,10123308.1924
CS_BT_NISM,9643.686262857143
CS_CGT_NIM,2091788.409257143
CS_CGT_NISM,2680.165405714286
CS_EGT_NIM,5205444.686985714
CS_EGT_NISM,303251.5044114285
CS_MG_NISM,4863172.36137143
CS_NGT_NIM,9069249.164
CS_NGT_NISM,1182941.9693714285
CS_SBT_NIM,497559.136
IG_PLA,0.0
IG_TUT,0.0
JA,48380.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3935426.0
VE_BTGT,0.0
