region,matched_plots,total_plots,plot_match_pct,matched_ha,total_ha,area_match_pct
1,971,1462,66.41586867305061,1175.4,1500.36,78.34119811245303
2,2469,3568,69.19843049327355,3607.15,4403.72,81.91142942784737
3,2993,4785,62.549634273772206,4327.1,6148.64,70.37491217570064
4,2343,3790,61.82058047493404,3313.67,4479.21,73.978893599541
5,712,2492,28.571428571428573,815.22,2401.02,33.953069945273256
6,429,847,50.64935064935065,613.97,1013.23,60.59532386526258
7,4240,5253,80.71578145821435,3093.03,3631.81,85.16497283723542
TOTAL,14157,22197,63.77888903905933,16945.54,23577.989999999998,71.87016365686813
