region,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,0.0,0.0,0.0,0.0,0.0,925.8,15.51,591.14,0.0
2,0.0,0.0,0.0,0.0,0.0,2643.8,97.62,1710.09,0.0
3,0.0,0.0,0.0,0.0,0.0,3771.87,94.04,2480.29,0.0
4,126.12,19.419999999999998,78.28999999999999,121.55,12.31,849.78,0.0,3350.18,0.0
5,105.84,432.07,61.58,118.0,6.26,1691.76,0.0,33.97,97.42
6,62.36,264.28000000000003,16.21,45.24,2.18,0.0,0.0,357.76,302.76
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.59,0.0
