island,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,294.32,715.77,156.08,284.79,20.75,2541.54,0.0,3741.91,400.18
2,0.0,0.0,0.0,0.0,0.0,7341.47,207.17,4781.52,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.59,0.0
