crop,production_tonnes
AG,176.4
AN_NU,538.2
AN_PA,15112.3
BA_INT,54334.350000000006
BA_IRR,8829.12
BA_PER,5601.42
BA_SINT,6104.97
BC_BT,6388.2
BC_GTMG,47.839999999999996
CS_BT_NIM,248920.46
CS_BT_NISM,278.24
CS_CGT_NIM,50109.57
CS_CGT_NISM,97.27199999999999
CS_EGT_NIM,115155.95999999999
CS_EGT_NISM,6192.4800000000005
CS_MG_NISM,95598.12
CS_NGT_NIM,193469.04
CS_NGT_NISM,24306.912
CS_SBT_NIM,20358.0
IG_PLA,4694.58
IG_TUT,268.95
JA,0.0
MA_ROTA,26131.68
MA_TO_CO_JA,23794.920000000002
ME,85.0
NC,0.0
PN_PIQ,4023.3996000000006
VE_BTGT,86.13000000000001
