type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,2,22,1,2,8,18,0,14
2,0,0,0,112,1,0,28,0,5,0
3,0,0,0,0,1351,10,5,2,3,0
4,0,0,0,21,86,674,12,34,0,35
5,0,0,0,5,13,29,195,4,35,1
6,0,0,0,9,2,6,2,999,0,29
7,0,0,0,0,3,4,10,0,199,0
8,0,0,0,24,0,24,0,117,0,432
