type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,0,18,0,0,12,25,5,7
2,0,0,0,43,0,0,31,3,45,24
3,0,0,0,0,754,197,66,323,9,22
4,0,0,0,24,0,2,0,814,0,22
5,0,0,2,2,1,1,155,41,46,34
6,0,0,0,15,0,0,4,1014,0,14
7,0,0,0,0,0,0,6,6,196,8
8,0,0,0,11,0,0,3,560,0,23
