region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_CGT_NIM,CS_EGT_NIM,CS_MG_NISM,CS_NGT_NIM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_MOBIO,MA_PLBIO,MA_ROTA,MA_TO_CO_JA,NC,PN_PIQ,PN_TOUR,VE_BTGT
1,0.0,2.61,9.46,24.61,0.0,14.86,0.0,0.0,0.0,240.14,0.0,0.0,0.0,0.0,1.85,0.0,145.27,1.3,2.9499999999999997,18.19,16.2,97.39,864.77,151.77,0.0
2,0.0,0.0,0.0,78.48,1.9,38.04,0.0,2.33,0.0,0.0,1188.71,0.0,0.0,0.0,4.49,0.0,253.38,1.52,5.01,164.59,209.06,230.07,2178.55,268.03000000000003,0.0
3,0.0,0.0,0.0,153.55,0.2,30.67,0.0,14.709999999999999,0.0,0.0,0.0,0.0,1472.0,0.0,16.9,0.0,906.15,0.11,20.79,186.19,52.33,862.09,2647.68,636.16,0.0
4,0.0,26.82,171.58,88.7,0.0,150.72,12.19,0.0,1939.89,0.0,0.0,0.0,0.0,0.0,0.0,38.37,237.46,0.51,70.98,27.96,151.13,553.39,1273.55,273.93,0.0
5,0.0,14.02,20.57,521.74,0.0,25.32,193.23,0.0,18.4,0.0,0.0,0.0,0.0,140.33,0.0,1.25,213.06,0.48,561.73,53.35,79.46,455.35,542.26,8.559999999999999,4.71
6,0.96,3.14,0.0,40.08,0.0,76.04,23.77,0.0,94.45,0.0,0.0,0.0,0.0,0.0,0.0,16.75,24.36,3.37,212.36,0.0,252.63,234.37,263.11,0.96,0.0
7,0.0,0.0,0.0,22.9,0.0,86.93,0.0,0.0,0.0,0.0,0.0,169.27,0.0,0.0,29.36,0.0,825.43,2.27,4.57,0.0,30.4,126.01,1846.94,607.92,0.0
