island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_CGT_NIM,CS_EGT_NIM,CS_MG_NISM,CS_NGT_NIM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_MOBIO,MA_PLBIO,MA_ROTA,MA_TO_CO_JA,NC,PN_PIQ,PN_TOUR,VE_BTGT
1,0.96,43.98,192.15,650.52,0.0,252.08,229.19,0.0,2052.74,0.0,0.0,0.0,0.0,140.33,0.0,56.37,474.88,4.36,845.07,81.31,483.22,1243.11,2078.92,283.45,4.71
2,0.0,2.61,9.46,256.64,2.1,83.57,0.0,17.04,0.0,240.14,1188.71,0.0,1472.0,0.0,23.24,0.0,1304.8,2.93,28.75,368.97,277.59,1189.55,5691.0,1055.96,0.0
3,0.0,0.0,0.0,22.9,0.0,86.93,0.0,0.0,0.0,0.0,0.0,169.27,0.0,0.0,29.36,0.0,825.43,2.27,4.57,0.0,30.4,126.01,1846.94,607.92,0.0
